glycan_mass,project_name,file_name,spectrum_id,ipc_index
1168,PXD026629,20180904YLJ-VSV4h-02.ipc,15563,532
1168,PXD026629,20180904YLJ-VSV4h-02.ipc,16287,639
1477,PXD026629,20180904YLJ-VSV4h-02.ipc,12984,219
1477,PXD026629,20180904YLJ-VSV4h-02.ipc,13061,228
1477,PXD026629,20180904YLJ-VSV4h-02.ipc,18326,874
1477,PXD026629,20180904YLJ-VSV4h-02.ipc,18340,878
1477,PXD026629,20180904YLJ-VSV4h-02.ipc,18403,884
1899,PXD026629,20180904YLJ-VSV4h-02.ipc,13958,301
1899,PXD026629,20180904YLJ-VSV4h-02.ipc,14902,429
1899,PXD026629,20180904YLJ-VSV4h-02.ipc,14904,431
1899,PXD026629,20180904YLJ-VSV4h-02.ipc,14969,445
1899,PXD026629,20180904YLJ-VSV4h-02.ipc,15047,464
1737,PXD026629,20180904YLJ-VSV4h-02.ipc,13985,303
1737,PXD026629,20180904YLJ-VSV4h-02.ipc,14059,310
1737,PXD026629,20180904YLJ-VSV4h-02.ipc,14962,443
1737,PXD026629,20180904YLJ-VSV4h-02.ipc,15033,458
1737,PXD026629,20180904YLJ-VSV4h-02.ipc,15036,460
2102,PXD026629,20180904YLJ-VSV4h-02.ipc,14026,306
2102,PXD026629,20180904YLJ-VSV4h-02.ipc,14038,308
2102,PXD026629,20180904YLJ-VSV4h-02.ipc,14092,312
2102,PXD026629,20180904YLJ-VSV4h-02.ipc,14115,315
2102,PXD026629,20180904YLJ-VSV4h-02.ipc,34765,3867
2467,PXD026629,20180904YLJ-VSV4h-02.ipc,14267,325
2467,PXD026629,20180904YLJ-VSV4h-02.ipc,48351,6828
2467,PXD026629,20180904YLJ-VSV4h-02.ipc,54597,8409
2467,PXD026629,20180904YLJ-VSV4h-02.ipc,54607,8415
2467,PXD026629,20180904YLJ-VSV4h-02.ipc,55122,8618
1534,PXD026629,20180904YLJ-VSV4h-02.ipc,14415,334
1534,PXD026629,20180904YLJ-VSV4h-02.ipc,14486,342
1534,PXD026629,20180904YLJ-VSV4h-02.ipc,14554,352
1534,PXD026629,20180904YLJ-VSV4h-02.ipc,14622,366
1534,PXD026629,20180904YLJ-VSV4h-02.ipc,15332,510
1819,PXD026629,20180904YLJ-VSV4h-02.ipc,14598,359
1819,PXD026629,20180904YLJ-VSV4h-02.ipc,49673,7127
1819,PXD026629,20180904YLJ-VSV4h-02.ipc,53919,8162
1819,PXD026629,20180904YLJ-VSV4h-02.ipc,54916,8537
1819,PXD026629,20180904YLJ-VSV4h-02.ipc,55302,8690
1963,PXD026629,20180904YLJ-VSV4h-02.ipc,14633,374
1963,PXD026629,20180904YLJ-VSV4h-02.ipc,42891,5766
1963,PXD026629,20180904YLJ-VSV4h-02.ipc,42987,5787
1963,PXD026629,20180904YLJ-VSV4h-02.ipc,72411,12449
1963,PXD026629,20180904YLJ-VSV0h-03.ipc,70503,12027
2134,PXD026629,20180904YLJ-VSV4h-02.ipc,14648,376
2134,PXD026629,20180831YLJ-H6h-02.ipc,53400,7234
2134,PXD026629,YangLuJie-LPS4h-2.ipc,52917,6622
2134,PXD026629,YangLuJie-LPS8h-2.ipc,53229,7592
2134,PXD026629,20180831YLJ-H0h-01.ipc,48599,6658
1696,PXD026629,20180904YLJ-VSV4h-02.ipc,15439,522
1696,PXD026629,20180904YLJ-VSV4h-02.ipc,15804,566
1696,PXD026629,20180904YLJ-VSV4h-02.ipc,15870,580
1696,PXD026629,20180904YLJ-VSV4h-02.ipc,15887,583
1696,PXD026629,20180904YLJ-VSV4h-02.ipc,15963,599
1209,PXD026629,20180904YLJ-VSV4h-02.ipc,15449,524
1209,PXD026629,20180904YLJ-VSV4h-02.ipc,20181,1151
1209,PXD026629,20180904YLJ-VSV4h-02.ipc,20253,1167
1209,PXD026629,20180904YLJ-VSV4h-02.ipc,23145,1688
1209,PXD026629,20180904YLJ-VSV4h-02.ipc,53117,7895
2190,PXD026629,20180904YLJ-VSV4h-02.ipc,15582,533
2190,PXD026629,20180904YLJ-VSV4h-02.ipc,16249,634
2190,PXD026629,20180904YLJ-VSV4h-02.ipc,17113,739
2190,PXD026629,20180904YLJ-VSV4h-02.ipc,17118,741
2190,PXD026629,20180904YLJ-VSV4h-02.ipc,17192,752
2465,PXD026629,20180904YLJ-VSV4h-02.ipc,15992,603
2465,PXD026629,20180904YLJ-VSV4h-02.ipc,20220,1163
2465,PXD026629,20180904YLJ-VSV4h-02.ipc,20853,1260
2465,PXD026629,20180904YLJ-VSV4h-02.ipc,20918,1273
2465,PXD026629,20180904YLJ-VSV4h-02.ipc,25232,2028
2061,PXD026629,20180904YLJ-VSV4h-02.ipc,16129,616
2061,PXD026629,20180904YLJ-VSV4h-02.ipc,16139,619
2061,PXD026629,20180904YLJ-VSV4h-02.ipc,16227,629
2061,PXD026629,20180904YLJ-VSV4h-02.ipc,16229,630
2061,PXD026629,20180904YLJ-VSV4h-02.ipc,16316,645
2352,PXD026629,20180904YLJ-VSV4h-02.ipc,16159,623
2352,PXD026629,20180904YLJ-VSV4h-02.ipc,17112,738
